a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c_orig,et_h_c_v2,et_h_d,et_h_e
2,1,8,0.0,0.0,1,3,1,1,5,1
10,1,16,0.0,0.0,2,1,2,1,1000,2
8,1,18,0.0,0.0,1,1,1,1,1000,1
17,1,8,0.12625250501002003,17.73015873015873,1000,1,1000,7,1000,1000
17,1,12,0.1683366733466934,19.761904761904763,9,1,8,2,1000,12
6,1,4,0.0,0.0,10,1,5,4,1000,13
18,1,11,0.9098196392785571,93.91409691629956,1000,1,38,4,1000,1000
18,1,19,0.1062124248496994,27.90566037735849,4,1,4,1,1000,5
9,1,12,0.0,0.0,2,1,2,1,1000,2
11,1,18,0.3346693386773547,36.58083832335329,2,1,2,1,1000,2
6,1,20,0.0,0.0,1,1,1,1,1000,1
4,1,1,1.0,9.394789579158317,1000,1,31,1000,1000,1000
13,1,6,0.1683366733466934,15.845238095238095,1000,1,1000,31,1000,1000
19,1,1,1.0,31.889779559118235,1000,1,1000,1000,1000,1000
